고객사명,요일,식수량(인분),서비스 종류,성비(남:녀),업종,최고온도,메인 메뉴,분류,맵기,염도,당도,1인당 소비량(g),1인당 제공량
시지바이오,화,101,베이직,7:3,의료,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,128,140
쓰리빌리언,화,30,베이직,7:3,의료,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
알파투쎄븐쓰리,화,42,베이직,7:3,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
앤비젼,화,63,프리미엄,7:3,전기전자,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
어메이징브루어리,화,16,베이직,6:4,식음료,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,117,140
에코마케팅,화,122,베이직,5:5,마케팅,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
에픽게임즈,화,93,베이직,7:3,게임,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
엔라이즈,화,33,베이직,7:3,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
엔픽셀,화,52,베이직,7:3,게임,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,117,140
엠레드클리닉,화,23,베이직,2:8,미용,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,117,140
오가나셀피부과,화,33,프리미엄,3:7,미용,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
오누이,화,27,프리미엄,8:2,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
오늘의꽃,화,19,프리미엄,6:4,물류,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
와이피랩스,화,29,프리미엄,7:3,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
원티드,화,81,베이직,7:3,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,119,140
웨딩북,화,25,베이직,5:5,서비스,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
위시켓,화,34,베이직,6:4,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,123,140
이노레드,화,62,베이직,8:2,마케팅,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
이롬플러스,화,21,베이직,7:3,식음료,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
이지스,화,46,베이직,8:2,금융,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
이지스 CCMM,화,48,베이직,7:3,금융,0,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
슈퍼진,수,17,베이직,7:3,게임,0,오징어삼겹두루치기,한식,0.8,0.7,0.6,131,140
